epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,758.875,0.73731,0.48159,0.85421,0.89435,0.9,0.90633,0.54678,1.45726,0.87963,1.15478,0.0003368,0.0003368,0.0003368
170,763.425,0.73191,0.46871,0.87166,0.89992,0.89927,0.91018,0.53778,1.49357,0.88435,1.17921,0.0003269,0.0003269,0.0003269
171,768.037,0.68833,0.48009,0.84433,0.88185,0.86667,0.90015,0.51939,1.49038,0.90588,1.17484,0.000317,0.000317,0.000317
172,772.575,0.76408,0.52674,0.88147,0.87266,0.83333,0.90277,0.55357,1.43722,0.89028,1.15057,0.0003071,0.0003071,0.0003071
173,777.163,0.72589,0.47765,0.85911,0.88552,0.83333,0.90325,0.55596,1.47958,0.89043,1.17288,0.0002972,0.0002972,0.0002972
174,781.975,0.80554,0.503,0.85516,0.86751,0.87318,0.9125,0.52886,1.52972,0.88557,1.20348,0.0002873,0.0002873,0.0002873
175,786.566,0.69199,0.47951,0.84977,0.89955,0.89565,0.91944,0.55415,1.45092,0.84976,1.15741,0.0002774,0.0002774,0.0002774
176,791.357,0.74628,0.5079,0.85908,0.88233,0.86667,0.9186,0.55511,1.44455,0.84152,1.14407,0.0002675,0.0002675,0.0002675
177,796.033,0.72912,0.49299,0.85895,0.81041,0.9,0.90907,0.51858,1.54978,0.89132,1.18486,0.0002576,0.0002576,0.0002576
178,800.632,0.7363,0.49201,0.84448,0.89161,0.82288,0.90195,0.49755,1.59293,0.91362,1.20771,0.0002477,0.0002477,0.0002477
179,805.372,0.74107,0.47913,0.85251,0.88308,0.83333,0.89382,0.50387,1.53367,0.91615,1.18493,0.0002378,0.0002378,0.0002378
180,810.054,0.74944,0.46763,0.85295,0.89258,0.83099,0.90091,0.52124,1.46777,0.88949,1.15992,0.0002279,0.0002279,0.0002279
181,814.843,0.74222,0.48701,0.8678,0.8927,0.83205,0.90147,0.51325,1.50289,0.90022,1.17391,0.000218,0.000218,0.000218
182,819.488,0.69695,0.44995,0.8394,0.89252,0.83048,0.89396,0.50005,1.53536,0.92934,1.19682,0.0002081,0.0002081,0.0002081
